BTITA20311198501,OBERHOFER Karin,187
BTFIN21101198301,MAKARAINEN Kaisa,498
BTRUS22203198801,VILUKHINA Olga,394
BTLTU22502198401,RASIMOVICIUTE Diana,14
BTBLR21403198501,DUBAREZAVA Nastassia,26
BTROU21403198801,PISCORAN Luminita,19
BTRUS22204198701,GLAZYRINA Ekaterina,238
BTUSA20710198401,STUDEBAKER Sara,37
BTFRA22011198801,BRUNET Marie Laure,243
BTGER22403198701,HILDEBRAND Franziska,147
BTNOR20803198801,HORN Fanny Welle-Strand,121
BTSVK22510199201,FIALKOVA Paulina,81
BTGER22106198601,HORCHLER Nadine,176
BTSWE21607199101,ANDERSSON Ingela,22
BTCZE20111198901,SOUKALOVA Gabriela,431
BTFIN22202197801,HOLOPAINEN Maija,5
BTRUS21608198401,KOROVINA Marina,27
BTAUT21701199101,INNERHOFER Katharina,2
BTBUL20505198901,YORDANOVA Emilia,30
BTEST22706199301,TALIHAERM Johanna,6
BTSVK21412198901,CHRAPANOVA Martina,30
BTGBR23001198701,LIGHTFOOT Amanda,5
BTRUS22610198301,BURDYGA Natalya,30
BTBRA22712197501,MOURAO Jaqueline,6
BTJPN21011198701,KOBAYASHI Miki,1
BTNOR21205199301,FENNE Hilde,64
BTGER22410198902,HAMMERSCHMIDT Maren,11
BTRUS22302198502,YURLOVA Ekaterina,86
BTCZE20812198801,ZVARICOVA Veronika,13
BTSWE22607199001,LIF Asa,5
BTGER12403199001,DOLL Benedikt,29
BTNOR11102198801,BIRKELAND Lars Helge,117
BTFRA11111199101,CLAUDE Florent,1
BTKAZ11203198601,TRIFONOV Alexandr,1
BTNED11511198801,SLOOF Joel,7
BTCRO13009199201,BUTKOVIC Dino,51
BTKAZ11806198001,CHERVYHKOV Alexsandr,8
BTEST10504197601,TOBRELUTS Indrek,18
BTSVK10402197801,HURAJT Pavol,31
BTLAT11905199001,PUZULIS Rolands,11
BTAUT10911198601,EBERHARD Julian,81
BTSLO12706199101,OBLAK Lenart,9
BTFIN21404199001,MARKKANEN Sanna,10
BTEST22105199301,GAIM Grete,17
BTGER20402198601,HENNECKE Carolin,3
BTRUS22809198001,KHRUSTALEVA Elena,17
BTGER20807198601,DÖLL Juliane,0
BTCAN21009198801,HEINICKE Megan,13
BTESP21008198801,PADIAL HERNANDEZ Victoria,77
BTBUL22406199301,DIMITROVA Niya,24
BTSWE20711198601,HOEGBERG Elisabeth,28
BTAUT20207198701,SCHWABL Iris,71
